Species,Taxonomy,Native_Invasive,Occurs in Watershed area(s),Gradient threshold,Suboptimal cold,Optimal,Suboptimal warm,Climate,Temperature class,OrderClass, Clearwater , MidSnake , Panhandle , Salmon , SnakeBear , Total 
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C,Current climate,Suboptimally cold,1-2, . ,1275.7,1551.6, . ,1705.2,4532.6
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C,Current climate,Suboptimally cold,3-4, . ,369.9,324.6, . ,589,1283.5
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C,Current climate,Suboptimally cold,5-6, . ,46.4, . , . ,4.5,50.9
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C,Current climate,Suboptimally cold,7-8, . , . ,1.1, . , . ,1.1
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C,Current climate,Optimal,1-2, . ,1778.9,1480.3, . ,2664.5,5923.7
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C,Current climate,Optimal,3-4, . ,2943.5,1338.2, . ,3704.9,7986.6
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C,Current climate,Optimal,5-6, . ,812.8,468.8, . ,1620.8,2902.3
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C,Current climate,Optimal,7-8, . ,7,2.2, . ,213.3,222.5
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C,Current climate,Suboptimally warm,1-2, . ,27.2,2, . , . ,29.2
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C,Current climate,Suboptimally warm,3-4, . ,101,14.7, . ,4.7,120.4
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C,Current climate,Suboptimally warm,5-6, . ,365.9,1, . ,197.2,564.1
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C,Current climate,Suboptimally warm,7-8, . ,277.4,72.9, . ,111.1,461.4
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C, +1C stream climate,Suboptimally cold,1-2, . ,941.8,933.9, . ,1141.5,3017.2
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C, +1C stream climate,Suboptimally cold,3-4, . ,191.3,149.2, . ,318.6,659.1
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C, +1C stream climate,Suboptimally cold,5-6, . ,33.2, . , . , . ,33.2
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C, +1C stream climate,Suboptimally cold,7-8, . , . , . , . , . , . 
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C, +1C stream climate,Optimal,1-2, . ,2019.5,2098, . ,3211.7,7329.2
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C, +1C stream climate,Optimal,3-4, . ,2865.7,1507.7, . ,3927.6,8301
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C, +1C stream climate,Optimal,5-6, . ,632.4,414.9, . ,1220.2,2267.5
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C, +1C stream climate,Optimal,7-8, . ,0.8,1.1, . ,133,134.9
Rainbow Trout,Salmonidae,Native,"Panhandle, MidSnake, Upper Snake",<8%,<12C,12-20C,>20C, +1C stream climate,Suboptimally warm,1-2, . ,120.5,2, . ,16.6,139
